Address,Name,Salary,Category,Education,Experience,Company Name,Description
平谷,操作简单包吃,6000-8000元/月,普工/操作工,不限,不限,保定市智华劳务派遣有限公司,北京长白班！！ 北京长白班！！22-45周岁   身体健康日结240一天！！主要负责组装电柜
平谷,周末双休/五险一金/长白班,6000-8000元/月,普工/操作工,不限,不限,保定市智华劳务派遣有限公司,北京长白班！！ 北京长白班！！保定免费发车到厂区22-45周岁 身体健康日结240一天！！主要负责组装电柜
次渠,日结210国企发动机厂,6000-8000元/月,普工/操作工,不限,不限,天津市联众伟业劳务派遣有限公司,日结210北京国企通州西集北内发动机厂管三餐工作岗位：发动机凸轮轴全自动机器操作工，辅助工，不用会编程，操作简单。年龄要求：20-40周岁，月结220/天  日结210工作时间：早8：00-晚8：00 ，半个月倒班。工资待遇：220/天每月15号发工资企业优势:1: 公司人性化管理2：工作环境好3: 免费三餐，免费住宿4: 住宿公寓4人间环境好，独立卫生间，洗漱间，空调
马驹桥,生产操作工五险一金+双休,3000-6000元/月,普工/操作工,不限,不限,北京捷乐生物科技有限公司,职位内容：负责按时，按质按量的完成接受的任务，喜欢化学，乐于从事化学反应相关工作职位要求：35岁以内，学历不限，经验不限工作时间：早8点半晚5点半，双休工作地址：北京市通州区景盛南二街10号院6号楼负责人：王主管急招请直接投递简历或者来电咨询我谢谢!
燕山,招聘操作工（接受实习生）,面议,普工/操作工,不限,不限,北京祥盛和顺工贸有限公司,工作内容：遵守公司各项规章制度，服从上级领导安排，根据生产任务，保质保量完成工作。职位要求：有良好的纪律性，工作踏实认真，有基本团队精神工作时间：早8:00-17:00，根据生产任务会有加班年龄：45岁以下，体力活
周口店,坚果包装大龄工6000起,6000-9000元/月,包装工,不限,不限,蓝图优聘（北京）人力资源有限…,工作内容：贴标签，装坚果礼盒职位要求：18到55周岁工作时间：10天一结工资，综合薪资6000-9000，可随时预支工资，人走账清
顺义,食品厂有健康证直接上岗,6000-8000元/月,普工/操作工,不限,不限,北京睿达立业企业管理有限公司,桃李面包厂急招普工岗位职责：主要生产面包，打包成品，工作简单！面试要求18-40周岁，身体健康，能接受两班倒福利待遇包住，厂内宿舍，4-8人间，可以洗澡，有空调，水免费，电费均摊；福利食堂每餐3-6元综合薪资6000-8000！厂区地址：北京顺义牛栏山
瀛海镇,长白班260下班发包吃住,6000-7500元/月,普工/操作工,不限,不限,北京鸿宇飞企业咨询有限公司,工无任何费用！！工作环境舒适期待你的加入没有体力活，恒温车间，简单易上手工作时间：10个小时左右，长白班薪资待遇：210-260一天，3天后日结人员要求：身体健康能吃苦耐劳，具有较强的责任心工作简单，无需经验，有老员工手把手教。待遇也好，表现优异者可转检测人员，晋升空间大，无尘车间，整洁干净有食堂早餐：面包、鸡蛋、大饼、麻团等主食，炒饭、豆浆、稀饭等自助中餐：二荤三素晚餐：和中餐一样，有水果，绿豆汤等
昌平,加工中心编程操机,10000-13000元/月,车床工,不限,3-5年,北京华宇振邦科技有限公司,本岗位要求年龄20-50岁，有5年以上实际加工中心编程操机工种经验，请符合要求者在投递简历或电话联系，感谢配合！岗位职责：1、按时完成产品或工艺所在环节分配的生产任务；2、严格按照机床操作规程和机床使用说明书的要求使用机床；3、严格按照工艺文件和图纸加工工件，4、负责机床的日常维护保养；5、工作中，改进自我水平并且就生产过程中的问题提出建议。任职资格：1、从事数控加工中心实际操作多年，熟悉各种材质加工特性；2、熟练操作加工中心，具有机加工工作经验者优先；3、踏实肯干，吃苦耐劳，干活快。工作时间：8
马驹桥,小商品包装装箱8000,5000-8000元/月,包装工,不限,不限,北京鸿宇飞企业咨询有限公司,免费吃住，工资都是纯赚的岗位:打包（缠胶带，封箱，贴标签）拣货（推着小车挑选货物和逛超市一样）都是小商品零食，日用品，没有大件都是小件轻松不累1、条件要求：18-40岁男女不限2、薪资待遇：底薪1800+计件工资，综合工资6000-8000元，吃住免费3、工作时间：白夜倒班，半个月一倒班月休4天厂区提供免费食宿，食堂免费两顿饭，伙食好，不用花一分钱住宿天猫公寓楼4-6人间，有空调暖气、热水器、无线网、洗澡间，当天可安排住宿工作地址：顺义区南法信地铁站附近300米
亦庄,汽车座椅零部件组装6K,5500-7000元/月,普工/操作工,不限,不限,中讯通达（北京）企业管理服务…,主要生产汽车座椅坐垫，给座椅包装、分类、质检等工作工资5500-6500，月结工资 上六休一工作要求：1.年龄18-382.无不良嗜好、无大面积纹身、无犯罪记录等。工作轻松，直接上手。感觉工作合适的话可以直接投下简历，直接给我打电话。
东坝,食品厂操作工包吃住5千,4500-7000元/月,普工/操作工,不限,不限,北京薪思特文化传媒有限公司,呀咪食品厂大量招工亮点：华北地区的鲜食工厂，工作场所整洁安全，工资有保障。面试要求：1，18-50岁之间，必须年满18岁。2，身体健康，无不良嗜好及犯罪记录。工作内容：负责盒饭、寿司、包子、饭团、粥等食品的制造，分配到适合自己的工段，简单易做，有师傅手把手带。工作时间：长白班，一天工作10-12小时，活不重。一般早上6-8点左右上班，下午5-6点左右下班。工资：计件制薪资，多劳多得，多是小组计件。一般新入职4000-5000元/月左右，2~3个月熟练后5000-7000/月。法定节假三薪！工资发放：每月25号发上月工资。上社保的用招商银行，不上社保的用邮政银行。食宿：免费提供食宿，自带被褥餐具。4人间上下铺，带空调卫浴，有洗衣机，宿舍有水电额度，能满足日常使用。（宿舍到厂近的步行几分钟，远的公交直达15分钟）不住宿的每月补贴400元。入职流程： 周一至周五，14-16点面试。 面试通过，当天可办理住宿。 持所有入职资料，办理入职。
顺义周边,食品厂普工厂内吃住,6000-8000元/月,普工/操作工,不限,不限,北京睿达立业企业管理有限公司,顺义面包厂急招普工岗位职责：主要生产面包，打包成品，工作简单！面试要求18-40周岁，身体健康，能接受两班倒福利待遇包住，厂内宿舍，4-8人间，可以洗澡，有空调，水免费，电费均摊；福利食堂每餐3-6元综合薪资6000-8000厂区地址：北京顺义牛栏山
后沙峪,长白班半导体220天结,5000-8000元/月,普工/操作工,不限,不限,北京鸿宇飞企业咨询有限公司,长白班的，包食宿，工作轻松，组装半导体，年龄18到45周岁，男女不限都可以安排、工资一个月5000到6500左右，纯收入，工资3天后每天发薪，结算灵活厂区吃住环境好，工作轻松，恒温车间，冬暖夏凉，无尘空间一天管三餐，当天安排住宿，零费用入职，不压工资，你可以直接投递简历，我会时间与您联系，详细介绍清楚厂环境好，冬暖下凉，没有异味，没有粉尘，，不限经验，不限学历，有老人教，有人带 。不用东奔西走了国企单位工资靠谱，包食宿，按小时计算工资一天210到260食宿：厂区免费住宿6人间，有独立卫生间，可以洗澡，冬暖夏凉，年龄要求：18-45周岁，长期工作 免费住宿，园区里有食堂。下班有台球厅，篮球厅，放映厅等主要工作：工作内容简单，无需任何经验，包吃包住，吃饭是自助餐形式，有面包，蛋挞，米饭，大饼等种类特别多，副食有各色炒菜，鸡爪，烤鸭，炸鸡，各色饮料等自选，住宿包括水电费都没有任何费用。宿舍4.6人一间，有洗衣机，网线，空调，设备齐全求职人数较多，线上回复不及时，可以直接加我，或直接拨打电话，投递简历
顺义周边,装卸/搬运工包吃住,6800-8300元/月,装卸/搬运工,不限,不限,北京瑞洪物流有限公司,"职位描述1,岗位责任:库房流水线搬运工，无需技术，身体健康能吃苦耐劳就行。2.工作内容:小件库房内搬运分拣货物:有地牛叉车配合。白班夜班两班倒时间(半月一倒班)3，任职要求;18-55周岁，身体健康，吃苦耐劳，服从管理有责任心4.不需要面试带好生活用品当天入职安排食宿上岗，无需任何费用。5.包吃包住，4-6人间(卫生间，热水器，空调，洗衣机)，外地来工作的工作满一个月报销路费6，（当天入职安排食宿上岗)工作地址：北京顺义南法信附近负责人：刘经理"
石门,长白班260包食宿日发薪,6000-8000元/月,普工/操作工,不限,不限,北京鸿宇飞企业咨询有限公司,公司直招不收任何费用，面试合格当天安排住宿，210-260一天，包吃包住，三天后日结组装半导体设备的，工作节奏不快，工作环境挺好的！冬暖夏凉这是半自动化的车间，用不了太多人，工作节奏也不快，工资也高，是一个很不错的工作机会工作时间：每天大概10到14个小时左右，过年有年终奖金，法定节假日3薪三个月转正，上北京五险吃住都在厂区，吃饭是自助餐形式，有面包，蛋挞，米饭，大饼等种类特别多，副食有各色炒菜，鸡爪，烤鸭，炸鸡，各色饮料等自选，宿舍4.6人一间，有洗衣机，网线，空调，设备齐全
大兴,大兴汽配厂普工7k,6000-7000元/月,普工/操作工,不限,不限,北京北汽模塑科技有限公司,工作内容：主要生产奔驰汽车前后保险杠，看管机器 ，产品成型后下架，抛光修复。要求：年龄20-40周，管吃住。薪资待遇：基本工资+绩效工资+技能工资+加班费+夜班补助，综合工资6000-7000工作地址：采育
西红门,吃得苦中苦薪资可过万,12000-15000元/月,普工/操作工,不限,不限,饿了么配送合作商,1.   年龄18---50周岁 2.  会骑车，会导航，能吃苦！！ 3   月休3-4天，每天上班9小时        10：00-14 ：00        16：00-21：00 4  全城就近分配！不压工资，可预支工资~免费配车！
阳坊,普工五险包吃住35内,面议,普工/操作工,不限,不限,北京东飞克光电气有限公司,年龄在30岁以内工作条件良好，无油，无烟，非流水线，有一定自由度，技术可以慢慢学包吃包住一日三餐，中午晚上，一荤一素，馒头米饭住宿多人宿舍，自带被褥有浴室，有洗衣机。工作时间早8-中午11.30下午1点到晚上5.3050岁以下有社保五险没有一金每月4000-5000刚入职1个月3000，第二个月4000周日休息1-6工作
亦庄,亦庄电子厂质检员福利高,4000-6000元/月,普工/操作工,不限,不限,京东方晶芯科技有限公司,工作内容：主要是做手机显示屏质检、组装、包装、仓库管理类的工作。（全自动化，需要人工辅助，工作比较简单，不累）职位要求：无尘车间，需要接受穿无尘服，年龄18-35，没有明显的纹身烟疤和犯罪记录。工作时间：两班倒，工作时间8点到8点，半个月一倒班，正常工作时间是10.5个小时左右。薪资：主要是底薪（2200-2500，大专学历补贴300元）+绩效+奖金+补贴，薪资在5000-6000，工资月结，每月15号工资准时发放。餐食和住宿：厂内有食堂，管吃管住，白班餐补35元/天，夜班餐补45元/天（饭补根据排班每月统一打入饭卡中1000元左右，吃不完不清零下月还能用），宿舍4-6人间，有空调，水电免费。福利：享受公司工会资慰问金福利，包括但不仅限于婚丧嫁娶、生日、年终奖。国企、工作稳定、环境好、工作简单、坐岗（岗位基本是闲岗，半自动化厂区，手动辅助就行）
大兴,大兴汽配厂招聘普工6k,5500-7000元/月,普工/操作工,不限,不限,北京北汽模塑科技有限公司,"面试岗位：喷涂.注塑.装配.物流.长期工：年龄18-35周，男女不限,管吃住。薪资待遇：基本工资+绩效工资+技能工资+加班费+夜班补助，综合工资5500-7000以上工作地址：采育"
马坊,免费吃住车间凉块310,6000-9000元/月,普工/操作工,不限,不限,北京鸿宇飞企业咨询有限公司,。北京平谷区电子厂长白班日结白班260，夜班310吃饭住宿一日三餐全部免费，工资纯赚组装半导体设备，轻松不累22-40周岁工资三天后日结工资转正上北京五险一金
石门,国企普工包吃住没花销,5000-6000元/月,普工/操作工,不限,不限,京东方晶芯科技有限公司,"工作内容：普工，电脑屏及液晶显示屏的组装维修技工，机器维修保养。岗位要求：18-35周岁，男女不限，无明显纹身烟花；能适应倒班工作，工作环境为无尘车间，车间恒温。薪资福利：1、底薪+加班费，工作日1.5倍,法定假日3倍，综合薪资5000-6000，15号发工资！免费餐饮条件：公司免费工作餐。免费住宿条件：宿舍到厂区步行5分钟，6人间，配有空调、暖气、网络、洗衣机等设施。生活条件：公司拥有完善的职工生活区，配有超市、食堂、篮球场、健身房、体育馆、员工活动中心等活动设施。其他福利：生日贺金、结婚贺金、丧葬慰问金、节日贺金或礼品等；公司定期组织文体活动、团建，聚餐、联欢等集体活动；每年进行岗位技能的评定，技能突出者将提供晋级及晋升机会。地址：北京大兴亦庄"
大兴,汽配厂月7k管吃住,5500-7000元/月,普工/操作工,不限,不限,北京北汽模塑科技有限公司,长期工：年龄18-35周岁，无纹身薪资待遇：基本工资+绩效工资+技能工资+加班费+夜班补助 ，综合工资5500-7000以上工作地址：采育有犯罪纪律的公司不考虑
马坊,310元组装工包食宿,7000-9000元/月,组装/装配工,不限,不限,北京鸿宇飞企业咨询有限公司,310/天，平谷华创招聘22-45岁，当天安排住宿2个班次自由选择：8：30—20：30，210元/天，8：30—22：30 ，260元/天上夜班有补贴50压三天后日结，吃饭住宿一日三餐全部免费，工资纯赚组装半导体设备，轻松不累，3个月后可以转正上北京五险
亦庄,外地也可以安排急招普工,6000-8000元/月,普工/操作工,不限,不限,北京晋阳弘业企业管理有限公司,面试时间：求职者自己直接到集合面试地点！薪资待遇：300元一天（260元/天+40元/天疫情补贴，不住宿舍）280元一天（240元/天+40元/天疫情补贴，住宿舍），综合工资7500左右，15号发工资。住宿6人间，可洗澡，有空调。8小时管一餐，12个小时管两餐。招聘要求：能适应站立工作，16-40周岁，少1针疫苗！（不需要核酸，不查行程，来了直接做  检测）工作内容：汽车座椅组装，质检，无毒无害无粉尘无污染车间。面试地址：北京大兴区瑞合东二路辅路东门
丰台,空调安装工8-10K,8000-10000元/月,普工/操作工,不限,不限,北京金星制冷设备安装工程有限…,岗位职责：有意者请电联，面试通过率更高1、负责空调安装，移机，打孔等2、负责对空调设备、设施进行检修；任职资格：1、文化程度不限，年龄50周岁以下；2、工作经验不限，3、具备良好的个人素养及职业道德。薪资待遇：8000-10000元，包吃住，年底双薪+年终奖负责人：史经理，有意向可直接电话联系
次渠,江苏浙江光伏板安装,7000-9000元/月,普工/操作工,不限,不限,北京鸿宇飞企业咨询有限公司,江苏 宁波光伏安装，打螺丝要求:年龄18-55岁，男女不限。工作环境在露天，能吃苦耐劳。计件8小时制工资，平均工资280元/天可加班多劳多得。管吃管住
亦庄,电子厂坐岗包吃住,5500-6500元/月,普工/操作工,不限,不限,北京京东方光电科技有限公司,"工作内容：普工，电脑屏及液晶显示屏的组装，质检，包装，检测贴标签。岗位要求：18-35周岁，男女不限，无明显纹身烟花；能适应倒班工作，工作环境为无尘车间，车间恒温。薪资福利：1、底薪2300+加班费，工作日1.5倍,法定假日3倍，夜班补助25，生日关怀100，婚丧嫁娶关怀1000，年终奖5000-10000，综合薪资5000-7000。15号发工资！免费餐饮条件：公司免费提供3顿工作餐。免费住宿条件：宿舍到厂区步行5分钟，6人间，配有空调、暖气、液晶电视、衣柜、桌椅、网络、洗衣机等设施，并且完善的生活区物业管理。 生活条件：公司拥有完善的职工生活区，配有超市、食堂、篮球场、健身房、体育馆、员工活动中心等活动设施。其他福利：生日贺金、结婚贺金、丧葬慰问金、节日贺金或礼品等；公司定期组织文体活动、团建，聚餐、联欢等集体活动；每年进行岗位技能的评定，技能突出者将提供晋级及晋升机会。工作地址：北京大兴亦庄"
通州,五险一金 月9k普工,6500-9000元/月,普工/操作工,不限,不限,北京鸿宇飞企业咨询有限公司,公司直接招聘，不收取任何费用长期工、小时工有意工作请直接点击申请职位投递个人简历或点击聊一聊在线咨询24小时在线回复急需大量员工，直接投递简历，公司直招，新员工零费用入职，入职不收取任何费用！公司包吃包住新公司订单增加，各岗位人员大量空缺，无需经验。当天安排宿舍，第二天开始计算薪资。6500-9000月，符合要求请直接投递简历，我们会在时间及时联系您！一、工作环境长白班，坐着上班，包吃包住，24小时中央空调，恒温空调。1、长期工：综合工资6500-9000月。缴纳五险一金。每月10号打卡发放，（工资不押不扣）二、工作时间1、8-8 长白班2、超出算加班计算（平时1.5倍，周六周日双倍，节假日3倍）三、工作内容贴标签，包装（坐着上班）1、工作轻松简单易上手2、坐着上班不穿无尘服四、招聘条件1、18-40周岁。不限学历，不限经验。五、工作岗位包装、、仓管、物料等（没做过的不用担心，老员工手把手教一下就会了）技工类：设备研发，设备维修，设备检测等六、福利待遇1、公司为每位合同制员工缴纳社会保险（五险一金）；2、公司免费提供工早中晚3餐，三荤二素；另提供面食、水果等提供挑选；3、公司提供员工公寓，生活区2-3人标准间（夫妻入职可提供夫妻双人间宿舍）、空调、热水、电视、宽带无线俱全；4、公司设有职工福庆礼金、生育礼金、丧葬礼金、公司为每位员工每年发放年终奖金。需入职的员工，请点击下方申请职位投递简历
通州,通风管道制作高薪诚聘,6000-8000元/月,铆工/钣金工,不限,不限,北京浩华通机电工程有限公司,工作内容：通风管道加工厂内黑白铁制作安装，有制作经验者优先。职位要求：吃苦耐劳，具有团队合作精神，无不良嗜好，有工作经验者优先。工作时间：
顺义,面包厂普工包住月薪8K,6000-8000元/月,普工/操作工,不限,不限,北京睿达立业企业管理有限公司,面试要求24-45周岁，身体健康，能接受两班倒福利待遇包住，厂内宿舍，6人间，可以洗澡，有空调，水免费，电费均摊；福利食堂每餐3-6元综合薪资6000-8000！厂区地址：北京顺义牛栏山
大兴,大兴采育招聘夫妻工,5500-7000元/月,普工/操作工,不限,不限,北京北汽模塑科技有限公司,面试岗位：汽车保险杠喷涂.注塑.装配.物流.食宿介绍：包吃住薪资待遇：基本工资+绩效工资+技能工资+加班费+夜班补助，综合工资5500-7000以上招聘要求：年龄20-35周岁，无明显文身，无犯罪记录工作地址：北京大兴采育
科技园区,司炉工,面议,锅炉工,不限,不限,北京北燃供热有限公司,岗位职责：1.严格遵守公司的各项规章制度，精心操作，确保锅炉安全经济运行。拒绝执行有害锅炉安全运行的违章指挥、违章作业；2.认真执行公司各项管理规定，严格遵守劳动纪律，不做与工作无关的事，严禁在上班前、上班中饮酒，严禁在禁烟区吸烟；3.认真执行锅炉操作规程，严密监视锅炉各参数的变化，节约用气、用电、用水，使锅炉保持运行状态，并认真做好运行记录；4.认真做好锅炉设备的运行维护工作，对设备故障及时启动应急预案，并向项目负责人和维修人员反映，将故障及所采取措施记入运行记录中；5.严格执行交接班制度，认真做好交接班记录，记录不完成清晰不允许交接班，接班人对设备运行情况不认真检查不允许交接班、交接班人员饮酒（或者其他违法公司制度劳动纪律行为）不允许交接班；必要时直接上报项目负责人；6.保持锅炉房设施干净，仪表指示准确清晰，工具物品存放整齐，操作室整洁干净，文件记录排放整齐，道路畅通；7.做好外来访问人员的检查和登记，保证锅炉房安全；9.认真接受上级的各项学习培训和安全教育，服从项目负责人管理及安排；任职条件：年龄50岁以下，具有蒸汽锅炉操作证，多年蒸汽炉操作经验，有空调制冷证、水质化验证优先录用。
西直门,当天上班不压工资保底1W,10000-15000元/月,普工/操作工,不限,不限,饿了么配送合作商,工作：就是骑车配送时间：上午10-14点，下午17-21点，8小时制，多劳多得。地址：就近分配18-50岁都可以，会骑车会导航就可以。
小汤山南,锅炉工,4000-4500元/月,锅炉工,不限,不限,北京九华国际会展中心有限公司,岗位职责：1、负责锅炉房的锅炉系统等设备运行、 维修保养、水质检测等工作；2、做好锅炉及其附属设备的维护保养和年度检修工作；3、掌握设备运行的技术状况，保证设备正常合理运行且节能降耗；4、处理系统故障，发现问题及时上报相关领导。任职资格：1、中专及以上学历，身体健康、品行端正，无任何不良记录；2、具有工业锅炉司炉证G1，锅炉水处理G3证，熟悉锅炉设备的工作原理和操作要求，具有良好的专业基础和管理经验；3、三年以上锅炉及管道设备运行维护的实际工作经验；4、踏实肯干，对工作认真负责。工作时间：
永定,诚聘搬运工6000包食宿,5500-6000元/月,装卸/搬运工,不限,不限,北京璞山商贸有限公司,负责装卸桶装水，管吃住，月薪5000元至6000元
龙泽,身无分文直接来上班,8000-15000元/月,普工/操作工,不限,不限,饿了么配送合作商,工作内容：取餐，送餐职位要求：会骑车，会导航，能吃苦！！工作时间：上午10点-14点 下午17-21点，每天8小时全城可安排！ 月休3-4！不压工资，配车~可预支工资
旧宫,高薪普工轻松好上手,5000-8000元/月,普工/操作工,不限,不限,飞水机械设备销售石家庄有限公司,"1、招聘普工，不要任何经验，室内工作，长期稳定、2、年龄要求：18-45周岁3、工作内容：主要负责装配，组装，下料。活简单轻松不累4、薪资：月综合薪资6000-80005、提供住宿空调暖气都有，吃饭福利食堂便宜管饱，6、入职签合同薪资有保障"
北七家,8小时食品厂包装五险一金,7000-8000元/月,普工/操作工,不限,不限,北京鸿宇飞企业咨询有限公司,8小时昌平食品厂五险一金一、职位名称：一线操作工 （糕点/熟食生产）有冷藏区，烘烤区，包装区，进厂分配四、招聘要求：1、年龄18-35岁，男女不限，1.70米以上，1.60米以上3、不能有皮肤病，手上不能脱皮，灰指甲，无犯罪记录4、疫苗三针工资福利：底薪5000+加班费，综合7000-8000元，过节发放福利，每月15号发薪班次：正常07.00-16.30（中间半小时休息吃饭时间）中班11.00-20.00，加班有加班费地址北京昌平北七家
