author,name,price,wordCount
杨建军 等,失效分析与案例,3690,197968
[澳] 格拉哈姆·帕特森（Graham Paterson）,商务英语10000单词,599,133082
戚文静,计算机专业英语,3304,153966
温沁园,语文课超有趣：部编本语文教材同步学（四年级·上册）,1400,72558
马骁 帅石金 丁海春,汽车文化（第3版）,4060,219947
周刚,新高考英语翻译与概要写作,999,103757
周超 主编,TKT剑桥英语教学能力认证考试全真模拟试题（2020年版）,2520,39528
威凤教育,数字媒体交互设计原理与方法,3780,61943
朱天衣,朱天衣的作文课（全5册）,4599,199507
张旸旸,软件评测师教程（第2版）,6930,283690
迷死他赵 心理学眼泪,高而基考研心理学（统考版）——普通心理学分册,10,88918
杨海霞,数据库原理与设计（第2版）,2160,164732
殷安全,中餐服务,1300,47845
彭瑜,运动控制系统软件原理及其标准功能块应用,9990,262128
王明欢,小学生思维导图作文课,1399,73977
张道真,张道真英语语法（第三版：精华版）,3900,188706
吕思勉,上下五千年,699,224775
金正昆,现代商务礼仪（第二版）,2100,234741
傅莉萍,物流系统规划与设计,2564,254113
欧阳林,批判性思维与中学语文阅读教学,2950,194758
[英] 朱迪丝·贝尔,科研项目完全指南,1699,179700
[美] 杰里·克利弗（Jerry Cleaver）,小说写作教程,2160,212305
[美] 珍妮特·,小说写作,3540,159311
罗平,公共空间设计,1995,69183
[美] 扎卡里·肖尔,带一本书去读研,2499,72507
[美] 约翰·C.麦克斯维尔,中层领导力：西点军校和哈佛大学共同讲授的领导力教程,1919,144520
舒国滢,法理学（第四版）,1920,242008
王国维,人间词话,699,58669
叶圣陶,稻草人,999,88707
王博,动画师之路,2160,100689
[英] 罗布·斯通斯（Rob Stones） 主编,核心社会学思想家（第3版）,7120,503820
张天翼,大林和小林,999,53589
[英] 亚当· 斯密,道德情操论（英文版）,2340,188583
[新西兰] 马丁·伦纳,雅思口语考官最给分的543个地道表达,2280,90037
[美] 米罗·沃尔德（Milo Wold）,西方音乐史十讲,2500,209281
祁子凯,成为学霸,2750,103401
董付国,Python数据分析、挖掘与可视化（慕课版）,2250,122787
陶尚芸,一本书读懂消失的文明（英汉对照）,599,90363
[苏联] 瓦·彼·卡达耶夫,七色花,599,25390
张娴,像本地人一样说英语,199,17198
全国计算机等级考试教材编写组 未来教学与研究中心,一级计算机基础及Photoshop应用,2940,143922
(英) 阿兰·德波顿,写给无神论者（中英双语插图本）,2546,142792
