aid,arcurl,author,bvid,danmaku,duration,play,tag,title,typeid
399282511,http://www.bilibili.com/video/av399282511,是豆腐呀i,BV1Jo4y1u78h,10,2:25,37933,"美女,女友视角,必剪创作,jk女友,女大,美好生活日常记录,2023高考季","这就是<em class=""keyword"">JK</em>女大的魅力么",21
900946596,http://www.bilibili.com/video/av900946596,hb_python,BV1zN4y1K7Ky,213,84:11,117785,"JK　,小姐姐,萌妹子,舞蹈,合集,热舞,欣赏,舞蹈欣赏","<em class=""keyword"">jk</em>超大合集 (舞蹈欣赏，无不良引导)",21
560523402,http://www.bilibili.com/video/av560523402,是小蕊儿,BV1we4y187Pk,33,1:18,108928,"轻舞蹈创作激励计划第七期,必剪创作,小姐姐,诱惑,美女,女神,热舞","<em class=""keyword"">jk</em>合集",255
802049560,http://www.bilibili.com/video/av802049560,墨玉-M,BV1Uy4y177YU,1791,6:31,1498019,"打卡挑战,VLOG,JK制服,记录,制服,不咕剪辑","初次尝试水下拍摄是什么样的体验/水下<em class=""keyword"">JK</em>",21
521321057,http://www.bilibili.com/video/av521321057,许小呦丶,BV1DM411U77q,66,1:46,168109,"2022时尚年度盘点,时尚穿搭有态度,JK制服,萌妹子,可爱,JK　","<em class=""keyword"">jk</em>小姐姐摇摆合集",158
773641190,http://www.bilibili.com/video/av773641190,hb_python,BV1G14y1876L,37,33:22,58596,"舞蹈区陪你过国庆,小姐姐,JK,热舞,美女,音乐欣赏,舞蹈,萌妹子,小仙女,丝袜","<em class=""keyword"">jk</em>新合集-----美女鉴赏员 (舞蹈音乐欣赏, 无不良引导)",255
392618021,http://www.bilibili.com/video/av392618021,账号已注销,BV1Xd4y1j7es,35,1:9,135199,"轻舞蹈创作激励计划新春特别篇,新年来跳Love Scenario比心舞,JK　,小姐姐,长腿,小姐,跳舞","黑丝<em class=""keyword"">jk</em>长腿小姐姐跳舞",255
460714406,http://www.bilibili.com/video/av460714406,十万口草莓粥粥,BV1m5411u7xJ,1073,4:26,1227171,"可爱,少女,舞蹈,宅舞,JK制服,制服,双马尾,GIFT,JK　","8个<em class=""keyword"">jk</em>女友，你要带哪一个走？",20
330499586,http://www.bilibili.com/video/av330499586,尤里CUTEYURI,BV15A41147mR,527,9:18,431739,"VLOG,生活记录,性感,丝袜,高能,萌妹子,小姐姐,美妆,服饰,秀场,JK制服,模特","【4K】体验100层丝袜同时穿，可爱<em class=""keyword"">JK</em>制服姐姐的高能挑战",21
97730139,http://www.bilibili.com/video/av97730139,健身鸭,BV1xE411N7Vv,31,0:41,144662,"抖音,美女,小姐姐,制服,JK制服,JK","<em class=""keyword"">JK</em>诱惑，你一定坚持不了60秒",174
341617655,http://www.bilibili.com/video/av341617655,爱笑的雪一,BV1yR4y1c7c5,129,1:9,73904,"花式搭配过晴天,服饰,搭配,分享,打卡挑战,JK制服,穿搭,JK","167cm <em class=""keyword"">JK</em>制服～白袜长度对比✨哪个长度最心动呢？",158
975169499,http://www.bilibili.com/video/av975169499,天命小繁星,BV1p44y1C7qS,59,5:0,1053529,"JK制服,美女,日系,COSPLAY,时尚,制服,萌妹子,小姐姐,女装,JK　","盘点那些短视频超美超好看小姐姐<em class=""keyword"">JK</em>变装视频",21
290048916,http://www.bilibili.com/video/av290048916,阿凯和北鼻,BV1Xf4y1W7LR,405,0:41,2464734,"沙雕日常,搞笑,美女,女神,情侣,JK,恋爱,沙雕","《如 何 让 女 友 穿 <em class=""keyword"">JK</em>？》",138
648931059,http://www.bilibili.com/video/av648931059,仙女阁king,BV1ae4y1K7LK,28,2:57,119529,"JK　,女朋友,合集,颜值,高甜","“你永远不知道女朋友外套底下藏着什么” &quot;<em class=""keyword"">jk</em>制服 &quot;见男友的小tips &quot;<em class=""keyword"">jk</em>",21
88041338,http://www.bilibili.com/video/av88041338,双管_,BV1A7411t7SV,4212,15:47,924581,"时尚星计划,服饰,JK制服,学生党,萌妹子,分享,日系,种草,JK　","【管管】新人必看！<em class=""keyword"">JK</em>制服超全入坑指南！怎么挑选适合自己的<em class=""keyword"">JK</em>制服？",158
399863898,http://www.bilibili.com/video/av399863898,是一只木糖醇,BV1ho4y177jD,3,0:12,7740,"写真,摄影,日系,JK制服","耳机<em class=""keyword"">jk</em>写真这样拍",158
529453064,http://www.bilibili.com/video/av529453064,是豆腐呀i,BV1Eu411W7iR,6,2:32,18610,"美女,女神,小姐姐,穿搭,jk,必剪创作,美好生活日常记录,2023高考季","奶兔的<em class=""keyword"">jk</em>是真的不错啊~",21
502107443,http://www.bilibili.com/video/av502107443,在下果酱,BV1UN411Q7uv,12,0:43,51246,"打卡挑战,妹子,美少女,性感,可爱,JK制服","[<em class=""keyword"">jk</em>摇合集]今天是四倍快乐 你不进来吗",21
347575385,http://www.bilibili.com/video/av347575385,甜辞漫剪,BV1ud4y1c75C,26,2:44,174667,"制服,美少女,楼顶,世界,JK制服,少女,JK","<em class=""keyword"">jk</em>制服妹在楼顶世界吃鸡",253
900848398,http://www.bilibili.com/video/av900848398,吃泥巴的丽贝卡,BV1MN4y1K7fy,107,1:10,275097,"换季时尚法则,JK制服,丝袜穿搭,学姐,穿搭","谁家的学姐丢了(<em class=""keyword"">jk</em>秋冬穿搭)",158
228638470,http://www.bilibili.com/video/av228638470,林雷科普,BV1Qh411c7vx,109,1:16,47350,"制服,美女,女神,性感,身材,大长腿,百褶裙,Jk制服,必剪创作,每日一题打卡,是老师，也是UP主！","白丝<em class=""keyword"">jk</em>慢摇",158
739892838,http://www.bilibili.com/video/av739892838,阿飞带你看妹子,BV19k4y1Y7eA,2,1:12,19118,"制服,美女,丝袜,性感,JK制服,穿搭,换季穿好看,追一趟春日列车","我穿<em class=""keyword"">JK</em>给你看好不好嘛",158
226866579,http://www.bilibili.com/video/av226866579,美少女番外,BV1ih41137Zn,112,1:44,81154,"热舞,丝袜,诱惑,JK　","双倍快乐<em class=""keyword"">jk</em>摇（纯舞蹈欣赏，无不良引导）",154
656590632,http://www.bilibili.com/video/av656590632,雨画晴天,BV1Xh4y1o77H,4,0:39,19561,"绘画,人工智能,小姐姐,穿搭,脑洞绘画大作战,一起来画画吧！表情包争霸赛","【AI绘画】 黑丝<em class=""keyword"">JK</em>谁能拒绝",162
980709294,http://www.bilibili.com/video/av980709294,芋圆有点甜-,BV1B44y137bD,485,1:17,621667,"服饰,时尚,搭配,日常,种草,JK　,袜子,长腿,漫画腿,JK制服","你最心动的搭配是？ <em class=""keyword"">jk</em>制服黑色袜长对比～",158
764350559,http://www.bilibili.com/video/av764350559,康康1米8,BV1mr4y1k7Tm,182,1:39,234515,"JK,制服,小姐姐,漂亮,诱惑,性感,可爱","【<em class=""keyword"">JK</em>换装系列】<em class=""keyword"">JK</em>合集，看个够",21
440327098,http://www.bilibili.com/video/av440327098,慕林QAQ,BV1XL411Z7La,101,1:1,358764,"无穿搭不春天,JK制服,穿搭,制服,JK　,服饰","超爱的<em class=""keyword"">jk</em>穿搭^O^",158
528490627,http://www.bilibili.com/video/av528490627,林雷科普,BV1iu41147y5,94,1:10,44520,"制服,美女,女神,性感,身材,大长腿,百褶裙,Jk制服,必剪创作,淘出一万种生活","黑丝<em class=""keyword"">jk</em>慢摇",158
268131341,http://www.bilibili.com/video/av268131341,林雷科普,BV1yY41167nC,124,1:12,142941,"无穿搭不春天,必剪创作,JK制服,美女,制服,百褶裙,大长腿,女神,性感,身材","白丝<em class=""keyword"">jk</em>慢摇",158
423664592,http://www.bilibili.com/video/av423664592,绫濑双双,BV1V3411E7ZT,35,4:24,73537,"VLOG,日常,生活,美女,打卡挑战,jk,制服,日系,元气,可爱","哪种风格是你的女友？<em class=""keyword"">jk</em>制服穿搭分享",174
400785890,http://www.bilibili.com/video/av400785890,佳不吃糖吖,BV1io4y1A7P8,5,0:34,25922,"JK制服,男友视角,必剪创作","<em class=""keyword"">jk</em>制服  男友视角",154
395647623,http://www.bilibili.com/video/av395647623,仙女姐姐吖ovo,BV1Ao4y167PY,104,0:45,44734,"无穿搭不春天,必剪创作,JK制服,JK　,穿搭,慢摇","<em class=""keyword"">jk</em>加慢摇＝法力无边",158
439613080,http://www.bilibili.com/video/av439613080,林雷科普,BV17j411A7gi,106,1:9,20059,"一分钟扬名B站-第五期,玩一种很新的东西,必剪创作,性感,美女,大长腿,女神,身材,百褶裙,制服,Jk制服","白丝<em class=""keyword"">jk</em>慢摇",158
907703426,http://www.bilibili.com/video/av907703426,林雷科普,BV1pM4y1o7Zx,124,1:14,100359,"无穿搭不春天,必剪创作,JK制服,美女,性感,女神,身材,制服,大长腿,百褶裙","白丝<em class=""keyword"">jk</em>慢摇",158
487010144,http://www.bilibili.com/video/av487010144,摄影师生尘,BV17N411y7Wx,11,3:0,44152,"制服,美女,摄影,模特,服饰,穿搭,Vlog,jk,拍摄日常,B-buy时尚服饰大赏","腰果黑色<em class=""keyword"">jk</em>【拍摄日记】vlog.17|个人拍摄日常花絮 索尼a7m4（上）",158
441244349,http://www.bilibili.com/video/av441244349,TaylorSwifiting,BV1NL411r7Kz,6,1:18,43443,"制服,JK制服,小姐姐,美女,日系","1080p-<em class=""keyword"">JK</em>",159
313827710,http://www.bilibili.com/video/av313827710,林雷科普,BV1KP41197K7,96,1:21,25163,"制服,美女,女神,性感,身材,大长腿,JK制服,百褶裙,必剪创作,每日一题打卡,是老师，也是UP主！","黑丝<em class=""keyword"">jk</em>慢摇",158
229424005,http://www.bilibili.com/video/av229424005,慕林QAQ,BV1D8411o7PC,28,1:15,29394,"丝袜,JK制服,穿搭","<em class=""keyword"">jk</em>女孩",158
271447190,http://www.bilibili.com/video/av271447190,真的好爽gg,BV1Jc411A71e,0,1:17,3201,"制服,女装,美女,JK,JK制服,服饰,穿搭","<em class=""keyword"">jk</em>",158
527036943,http://www.bilibili.com/video/av527036943,绅士俱乐部A,BV1TM411T725,0,1:16,10790,"JK制服,穿搭,萌妹子,美女,制服,精选","精选<em class=""keyword"">JK</em>服饰",158
486467485,http://www.bilibili.com/video/av486467485,0731辊撾,BV1tT411479Q,2,1:41,11306,"美女,丝袜,性感,JK制服,小姐姐,穿搭","<em class=""keyword"">JK</em>加黑丝 包臀裙加黑丝 吊带裙加黑丝  太好看了",158
656712280,http://www.bilibili.com/video/av656712280,眉眉去哪了,BV1fh4y1R79U,10,1:34,16184,"制服,丝袜,JK制服,服饰,穿搭,吊带裙","<em class=""keyword"">JK</em>加黑丝 包臀裙加黑丝 吊带裙加黑丝  太好看了",158
810196212,http://www.bilibili.com/video/av810196212,咝小喵MAO,BV1r34y147YU,62,1:53,161153,"轻舞蹈创作激励计划第二期,美女,热舞,Bunny Style,咝小喵,星辰工作室,兔女郎,T-ARA,竖屏,4K","<em class=""keyword"">JK</em>兔兔学姐  |  4K竖屏❤Bunny Style",199
