User,Content,Time,Stars
智术师,华中师范大学中国近现代史专业考试必读书目，全书第一章最为精彩。,2016-12-07 19:45:16,还行
catrina-箱推し,看前幾章的時候還覺得很興奮，看到後面就失望了...多人一齊著書就是有章節質量參差的毛病...如邱老師所說...名為“中國近現代史”的書似乎還沒有一本滿意的...,2011-03-04 19:25:01,还行
呼呼,其实并不好，不太懂华师那么多青年才俊，为啥绝大多数章节却都是一群老夫子来写？只有个别章有亮点，而学术前史及研究综述大都流于形式。作为教材甚至还不如北师大版脉络清晰,2019-06-02 19:23:38,还行
Souz,"每章后的学术综述 参考书目 以及思考题很棒 但是有些章节看着还是有些失望18.5.4√------重读一遍感觉第一章写的好棒……",2018-05-04 09:15:40,推荐
柴妮思,本以为历史专业的主干课不会太难 结果恍恍惚惚看完这将近700页的书后 发现还有一长串的资料等着查 天啦噜 振强哥哥真的真的不要太认真 PS. 整本书感觉近代史内容更有意思 现代史简直令人头晕目眩,2018-05-12 18:26:47,还行
only one,😭良心教材啊，拯救了我南京国民政府执政十年初的内政外交，但抗战内战和党史又太简了，还得去硬着头皮翻那本，希望今年考上啊！,2017-11-13 21:05:24,力荐
颍原真吾,通过对行政权力的掌握，国民党从中央到地方建立了一套与行政体系平行但却高于其上的党政双重管理体制。这种附着于行政权力体系之上的党政基层机构，不仅建立在社团、文化、教育机构之中，也建立在产业、商业之中，甚至连海外华侨组织中也可见其踪。显然，这种体制的具体运作就不仅是只通过行政权力施加国民党的影响了，它直接就可以渗入到社会生活的各个方面。例如，国民党在新闻舆论界宣传三民主义是唯一的合法思想，以排斥其他思潮的影响；在教育界实行“党化教育”，向各级学校的学生灌输三民主义思想；使得三民主义的意识形态充斥社会的各个方面，起到了扩大国民党影响，强化国民党统治的重要作用。,2018-08-17 13:57:04,力荐
吃蛋挞,比马工程那本好读多了…封面也好看些,2019-06-05 19:58:21,推荐
深秋枫叶红,内容比较简练中肯，学术综述与参考书目便于进一步的参考学习,2017-08-13 10:26:15,力荐
误我秦楼,学了华中师范大学的近代史课程前来阅读,2019-08-05 09:21:16,力荐
