职位名称,公司名称,薪资,城市,发布时间,详细信息,内容
法务经理,海伦堡中珠江区域,18-25K,湖南/长沙市,06-29 刷新过,"['年龄不限', '法务经理/主管']",
机工/普工/船员/捕鱼工,鑫洋航海,9-12K,湖南/长沙市,06-29 刷新过,"['出海船员', '高薪就业', '货船招聘', '出海捕鱼工', '工资高', '年龄不限', '普工']","
    工作稳定、无需工作经验、对文化程度没有要求、带薪休假、包吃住、有提成可拿、到国外旅游机会、工资底薪加提成、
"
业务代表,中山大桥化工集团有限公司,(面议)                        4.5-7K,湖南/长沙市,06-29 刷新过,"['年龄不限', '客户经理']",
大区经理,广东铂恩照明,(面议)                        6-11K,湖南/长沙市,06-28 刷新过,"['年龄不限', '区域销售管理']",
诚聘轻松站内安全员,铁禄高竖,4-5.5K,长沙市/天心区,06-25 刷新过,"['年龄不限', '普工']",
销售工程师,利诚检测认证集团股份有限公司,(面议)                        15-25K,广东/中山市,06-29 刷新过,"['环境检测', '政府关系', '关系维护', '新项目开发', '企业客户', '年龄不限', '销售代表', 'C1']","
    亮点1：底薪+高提成，提成上不封底；亮点2：合伙人制度；亮点3：高速发展，预备上市；
"
食品抽样员,利诚检测认证集团股份有限公司,4.5-8K,湖南/长沙市,06-29 刷新过,"['食品抽检', '市场', '食品厂', '长期出差', '年龄不限', '食品/饮料研发', 'C1']",
配送/司机/仓管,常成轮业,5.5-8K,中山市/东升镇,06-19 刷新过,"['年龄不限', '货运司机']",
区域销售经理,创维照明,4-20K,中山市/古镇,05-03 刷新过,"['开发经销商', '陌拜/地推', '长期出差', '五金流通渠道', '年龄不限', '渠道经理']",
销售业务员,创维照明,5-10K,中山市/古镇,05-03 刷新过,"['照明行业', '线下经销商开发', '陌拜/地摊', '年龄不限', '渠道专员']",
业务经理,创维照明,5-10K,中山市/古镇,05-03 刷新过,"['年龄不限', '渠道经理']","
    高底薪+高提成+出差津贴+车油费补贴+通讯补贴
"
直播运营,德尔玛电器,10-15K,长沙市/天心区,04-01 刷新过,"['年龄不限', '运营专员']","
    入职即购五险一金，车费报销，餐补
"
抖音主播/场控,德尔玛电器,10-15K,长沙市/天心区,04-01 刷新过,"['带货主播', '场控', '运营', '年龄不限', '主播']","
    上播4小时，没有夜班，不用坐班，月休4天，餐补400，底薪加提成加季度奖金
"
开平市长沙代记饮品店招聘奶茶店店员,开平市长沙代记饮品店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '饮品店员']",
开平市长沙贰楼饮品店招聘厨师,开平市长沙贰楼饮品店,5-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平长沙澳莱酷品牛扒招聘传菜员,开平市长沙澳莱酷品牛扒店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '打荷/杂工']",
开平市长沙渔乐泯...招聘烧烤师傅,开平市长沙渔乐泯美食店,4-8K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙一铖饮品店招聘奶茶店店员,开平市长沙一铖饮品店,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '饮品店员']",
长沙客蜀行美食店招聘厨师,开平市长沙客蜀行美食店,5-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙代记饮品店招聘收银,开平市长沙代记饮品店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '收银员']",
开平市长沙统盈电讯店招聘手机维修,开平市长沙统盈电讯店,6-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '电器维修']",
开平市长沙喵星人...招聘奶茶店店员,开平市长沙喵星人饮品店,2-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '饮品店员']",
开平市长沙上本熊...招聘日料厨师,开平市长沙上本熊美食店,6-7K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
长沙荣启美食店招聘餐饮储备店长/干部,开平市长沙荣启美食店,4-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '餐饮管理']",
开平市长沙蓝屿饮品店招聘奶茶店店员,开平市长沙蓝屿饮品店,4-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '饮品店员']",
开平市长沙渔乐泯...招聘西餐厨师,开平市长沙渔乐泯美食店,4-7K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平长沙澳莱酷品牛扒招聘西餐厨师,开平市长沙澳莱酷品牛扒店,4-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙浓心烘焙店招聘后厨,开平市长沙浓心烘焙店,4-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙稻子家...招聘后厨,开平市长沙稻子家美食店,2-3K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
长沙荣启招聘后厨,开平市长沙荣启美食店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙予甜饮品店招聘服务员,开平市长沙予甜饮品店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '服务员']",
长沙客蜀行美食店招聘传菜员,开平市长沙客蜀行美食店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '打荷/杂工']",
开平市长沙简味渔粉店招聘后厨,开平市长沙简味渔粉店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙迦班饮品店招聘奶茶店店员,开平市长沙迦班饮品店,2-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '饮品店员']",
开平市长沙渔乐泯...招聘店员/营业员,开平市长沙渔乐泯美食店,3-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '导购/营业员']",
开平市长沙樱子莉...招聘服务员,开平市长沙樱子莉莉咖啡店,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '服务员']",
开平市长沙宏誉家...招聘木工,开平市长沙宏誉家具经营部,4-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '木工']",
开平市长沙会飞饮品店招聘店员/营业员,开平市长沙会飞饮品店,3-7K,江门市/开平市,06-24 刷新过,"['年龄不限', '导购/营业员']",
开平市长沙贰喜饮品店招聘奶茶店店员,开平市长沙贰喜饮品店,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '饮品店员']",
开平市长沙渔乐泯...招聘烧烤师傅,开平市长沙渔乐泯美食店,4-8K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙时涧餐厅招聘厨师,开平市长沙时涧餐厅,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙季乐世...招聘奶茶店店员,开平市长沙季乐世饮品店,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '饮品店员']",
开平市长沙串霸美食店招聘厨师,开平市长沙串霸美食店,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙渔乐泯...招聘厨师,开平市长沙渔乐泯美食店,4-9K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙蚝将餐饮店招聘烧烤师傅,开平市长沙蚝将餐饮店,4-7K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙九合饮品店招聘厨师,开平市长沙九合饮品店,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙伟轩饮品店招聘店员/营业员,开平市长沙伟轩饮品店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '导购/营业员']",
长沙客蜀行美食店招聘后厨,开平市长沙客蜀行美食店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
