职位名称,公司名称,薪资,城市,发布时间,详细信息,内容
纸样师傅（充气玩具）,国际人才网招聘执行,10-15K,广东/中山市,06-29 刷新过,"['充气城堡产品', '充气玩具', '年龄不限', '纸样师/车板师']",
亚马逊资深运营（组长）,国际人才网招聘执行,8-10K,中山市/东区街道,06-29 刷新过,"['26-35 岁', '电商运营']",
PHP开发主管,国际人才网招聘执行,15-20K,广东/中山市,06-29 刷新过,"['高并发项目', '高负载项目', 'php', '年龄不限', 'php']","
    五险一金，包食宿，节假福利等
"
外贸业务应届生,国际人才网招聘执行,5-8K,中山市/小榄镇,06-29 刷新过,"['商务英语', '年龄不限', '外贸业务员']",
运维工程师,国际人才网招聘执行,10-18K,广东/中山市,06-29 刷新过,"['腾讯云', '阿里云', '服务器运维', '年龄不限', '运维工程师']","
    五险一金，年终奖，食宿，有薪年假
"
亚马逊运营,国际人才网招聘执行,6-8K,中山市/沙溪镇,06-29 刷新过,"['亚马逊', '独立站', '跨境运营', '年龄不限', '运营专员']",
某外企产品工程师-五金,国际人才网招聘执行,8-13K,中山市/小榄镇,06-29 刷新过,"['英语', '产品导入', '五金结构', '年龄不限', '项目管理']","
    五险一金，双休，13薪，包吃住
"
财务会计,广东安可,5.5-8K,中山市/东升镇,06-29 刷新过,"['年龄不限', '会计']","
    包吃包住
"
教务招生老师,国际人才网,3-8K,中山市/东区街道,06-29 刷新过,"['招生', '成人教育', '课程顾问', '学历提升', '电话销售', '年龄不限', '招生顾问']","
    1、给你保障：五险一金（养老险，失业险，医疗保险，生育保险，工伤险，住房公积金）。2、给你舒适：5天8小时的工作制（上午:8:30-12:00,下午13:30-18:00），所有国家法定的公休假，带
"
普工多名,广东安可,5-8K,中山市/阜沙镇,06-29 刷新过,"['年龄不限', '普工']",
SEO优化主管,国际人才网,8-12K,中山市/东区街道,06-29 刷新过,"['seo', 'sem', '年龄不限', '网络推广']","
    1、给你保障：五险一金（养老险，失业险，医疗保险，生育保险，工伤险，住房公积金）。2、给你舒适：5天8小时的工作制（上午:8:30-12:00,下午13:30-18:00），所有国家法定的公休假，带
"
新媒体运营,中山优美优品家具有限公司,5-8K,中山市/南区街道,06-29 刷新过,"['年龄不限', '公关/媒介专员', '其他']","
    1.我们是一间正在快速发展的企业，需要热血有为的你，加入优美优品大家庭；2.该岗位提供稳定发展、良好的晋升空间。
"
剪辑师,湾区好房子,5-5.5K,中山市/东区街道,06-29 刷新过,"['剪辑师', '年龄不限', '影视制作/特效']","
    工作简单，待遇福利好
"
PMC总监,得友鑫物流设备,15-25K,中山市/民众镇,06-29 刷新过,"['年龄不限', '生产计划/调度']",
外贸业务员,中山市中粮外贸公司,4-8K,中山市/石岐街道,06-29 刷新过,"['外海销售', '外贸专员', '外贸助理', '年龄不限', '外贸业务员']","
    五天半工作制。(1)公司逢周五组织团建丰富的团建活动。(2)入职满一年享受带薪年假。(3)定期组织学习培训，提高个人心性，思维能力。
"
成本核算,中山市锵辉金属制品有限公司,4-6K,中山市/阜沙镇,06-29 刷新过,"['年龄不限', '财务']",
家具销售,中山市迪美斯家具有限公司,4-6K,中山市/南区街道,06-29 刷新过,"['销售经理', '家具业务', '业务员', '年龄不限', '业务员']","
    入职后有在职培训，公司不定期有下午茶餐，团建活动。
"
珠海金悦产城发展有限公司产城发展部业务主管,珠海金航产业投资集团有限公司,10-15K,珠海市/金湾区,06-29 刷新过,"['年龄不限', '市场策划']",
外贸业务员,中山市航硕照明科技有限公司,6-12K,中山市/横栏镇,06-29 刷新过,"['会英语', '年龄不限', '外贸业务员']",
灯饰设计,凡迪安照明,9-12K,中山市/横栏镇,06-29 刷新过,"['家居照明', '灯饰设计', '年龄不限', '灯饰设计']",
CAD画图员,中山市锵辉金属制品有限公司,4-6K,中山市/阜沙镇,06-29 刷新过,"['年龄不限', '其他（建筑设计）']","
    买社保，年度旅游，包吃住，生日福利
"
货代业务员,中山邦达天原,4-8K,中山市/石岐街道,06-29 刷新过,"['货代', '货代业务员', '物流', '业务员', '20-40 岁', '货运代理业务', ' 英语-一般', ' 广东话-精通', ' 普通话-精通', 'C1']","
    周末双休，有下午茶
"
财务专员,亚非,4-6K,中山市/古镇,06-29 刷新过,"['会计学', '财务会计类', '财务管理', '年龄不限', '财务']",
研发主管,中山凯旋真空科技股份有限公司,8-16K,中山市/横栏镇,06-29 刷新过,"['机械研发', '电气研发', '光电研发', '年龄不限', '技术研发主管']",
标准化高级研究员/标准化项目经理,深中标准研究中心,7-8K,中山市/石岐街道,06-28 刷新过,"['标准化', '知识产权', '质量', '年龄不限', '项目主管/经理']","
    1、上班时间：工作日上午8:30-12:00；下午14:30-17:30。周末双休。2、带薪年假：按国家规定执行。3、五险一金：按国家规定执行。
"
全屋定制设计师,中山索菲亚整家定制,8-15K,中山市/石岐街道,06-28 刷新过,"['定制', '设计', '效果图', '设计师', '全屋定制设计师', '年龄不限', '室内设计']",
人事主管,好掌柜,6-8K,中山市/东凤镇,06-29 刷新过,"['年龄不限', '人力资源经理/主管']",
小家电外贸业务员,中山仓大,(面议)                        5-10K,中山市/火炬区,06-29 刷新过,"['外贸', '年龄不限', '外贸业务员', ' 英语-熟练']","
    工资结构：底薪+提成，只要你肯干，工资上不封顶，公司注重人性化管理，老板爱惜员工，让员工极具有归属感！每天早晚上下班时有从公司到张家边的来回班车！
"
经理助理,中山市锵辉金属制品有限公司,6-8K,中山市/阜沙镇,06-29 刷新过,"['年龄不限', '总助（高管）']","
    买社保，公司组织旅游，包吃住
"
室内主案设计师（广州）,沸腾艺术,8-13K,广东/广州市,06-29 刷新过,"['年龄不限', '室内设计']",
招商专员,上乘集团,5-7K,中山市/港口镇,06-29 刷新过,"['年龄不限', '招商经理']",
商业地产策划师,上乘集团,(面议)                        6-10K,中山市/港口镇,06-29 刷新过,"['年龄不限', '地产策划']",
针织设计师,中山市（恒茂）都彭丹顿服饰有限公司,(面议)                        5-8K,中山市/沙溪镇,06-28 刷新过,"['年龄不限', '服装设计']",
木工师傅,四季家具,8-10K,广东/中山市,06-29 刷新过,"['年龄不限', '水工/木工/漆工']","
    包中晚餐，五险
"
销售经理,四季家具,8-10K,广东/中山市,06-29 刷新过,"['年龄不限', '销售经理']","
    包中餐，五险
"
数控车床师傅,福润德,7-10K,中山市/港口镇,06-27 刷新过,"['年龄不限', '数控车床']","
    月休2天，包吃，有年终奖等
"
五金杂件师傅,荣昌,7.5-10K,广东/中山市,06-29 刷新过,"['年龄不限', '模具工']",
电度技工,荣昌,5.5-8K,广东/中山市,06-29 刷新过,"['年龄不限', '电镀工']",
折弯学徒,顺汇科技,4.5-6K,中山市/火炬区,06-29 刷新过,"['年龄不限', '钣金工']","
    可以从零基础学习
"
零售店长,中山快帮科技,5-8K,中山市/东区街道,06-29 刷新过,"['年龄不限', '零售店长']",
知识产权顾问,广东世纪铭洋知识产权运营服务有限公司,6-8K,佛山市/南海区,06-29 刷新过,"['年龄不限', '销售代表']","
    （1）工作时间：周一至周五：上午8:00-12:00；下午13：30-17:30（2）社会保险：五险一金（养老保险、医疗保险、工伤保险、失业保险、生育保险）、公积金；（3）假期：按照国家法定节假日
"
数控操作员,中山市锵辉金属制品有限公司,5-8K,中山市/阜沙镇,06-29 刷新过,"['年龄不限', '数控车床']",
样品员,东菱电源,4.5-6K,中山市/横栏镇,06-29 刷新过,"['年龄不限', '普工']",
销售总监助理,广东川田,4-6K,火炬区/开发区周边,06-29 刷新过,"['年龄不限', '销售内勤']",
非标准自动化（高级工程师）,中山市唯一精密智能装备有限公司,5-8K,中山市/火炬区,06-29 刷新过,"['年龄不限', '机械工程师']","
    包吃包住，五险
"
售后技术支持经理,皓峰机电,9-13K,中山市/东区街道,06-29 刷新过,"['年龄不限', '售前/售后技术支持']","
    综合薪酬+售后收益提成
"
国际业务员,中山联昌,7-12K,广东/中山市,06-29 刷新过,"['年龄不限', '外贸业务员']",
外贸跟单员,中山联昌,5-7K,广东/中山市,06-29 刷新过,"['年龄不限', '销售内勤']",
机电高级技术员,TEXCO,4.5-6K,中山市/东区街道,06-28 刷新过,"['年龄不限', '机电工程师']",
机械工程师,四海智能,(面议)                        12-20K,中山市/西区街道,06-29 刷新过,"['年龄不限', '机械工程师']",
市场主管,中山黄圃中裕汽车有限公司,6-8K,中山市/黄圃镇,06-28 刷新过,"['年龄不限', '市场营销专员']",
普工,广东美味鲜调味食品有限公司,4.5-7K,广东/中山市,06-29 刷新过,"['年龄不限', '普工']",
样品技术员,亿莱电子,4-6K,中山市/五桂山街道,06-28 刷新过,"['年龄不限', '机械维修/调试']",
焊工,中山市唯一精密智能装备有限公司,6-11K,中山市/火炬区,06-29 刷新过,"['焊接', '氩弧焊', '年龄不限', '焊工']",
外贸业务员,翼高,(面议)                        10-20K,中山市/西区街道,06-29 刷新过,"['客户开发', '订单跟进', '客户维护', '年龄不限', '外贸业务员', ' 英语-熟练']","
    能力为王，业绩为王，只要有能力，收入不上限！全球多个国家出国参展机会，开阔眼界！沉浸灭蚊灯以及外贸行业十五年的资深外贸人带路，倾囊相授，保驾护航！
"
制袋操作员,BEST,(面议)                        4.5-6K,中山市/东升镇,06-29 刷新过,"['18-35 岁', '普工']",
售前售后,国际人才网,3-8K,中山市/东区街道,06-29 刷新过,"['年龄不限', '销售代表']","
    1、给你保障：五险一金（养老险，失业险，医疗保险，生育保险，工伤险，住房公积金）。
2、给你舒适：5天8小时的工作制（上午:8:30-12:00,下午13:30-18:00），所有国家法定的公休假，带薪年假5天。
3、给你增值：完善的入职脱岗培训，在职常态化的职业培训。
4、给你享受：全空调的工作环境（配备高科技网络电话系统），独立休息室、多功能会议室，冰箱微波炉齐全的就餐区间。
5、给你激励：绩效考核奖励，营销活动激励（多样式的抽奖激励模式）。
6、给你乐趣：每周趣味的公司内部活动（发奖金，送礼品）、生日会、茶话会；每月主题活动（如中秋主题，运动拓展主题、爱心环保主题等）。
"
人事行政主管,宇邦睿盈,7-8K,中山市/阜沙镇,06-29 刷新过,"['招聘', '人力资源规划', '企业文化', '年龄不限', '人力资源经理/主管']",
初级外贸业务员,中山智轻松,5-7K,中山市/东区街道,06-29 刷新过,"['英语', '阿里巴巴', '外贸', '业务', '销售', '年龄不限', '外贸业务员']",
QE,中山市优一照明有限公司,5-6K,中山市/小榄镇,06-29 刷新过,"['年龄不限', '品质员']",
电商客服,中山市睿动科技有限公司,4-7K,中山市/三乡镇,06-29 刷新过,"['年龄不限', '客服专员']","
    转正后可买社保/ 旅游 /提供学习渠道和途径
"
工艺工程师,韩加电器,9-15K,中山市/南头镇,06-29 刷新过,"['PE', 'IE', '总装工艺', '制程工艺', '年龄不限', '机械工程师']","
    年底双薪、带薪年假
"
外贸跟单,韩加电器,6-10K,中山市/南头镇,06-29 刷新过,"['年龄不限', '外贸跟单']",
照明电子技术员,高木电子/清匠电器,6-8K,中山市/南区街道,06-29 刷新过,"['22-35 岁', '灯饰研发', 'C1']","
    公司作为世界500强家电企业PCBA供应商，每年年产值保持20%以上增幅。公司重视培养技能型人才，近年快速拓展海外市场，成效显著。欢迎您的加入！您的加入，值得我们永远铭记。
"
电源销售主管,高木电子/清匠电器,10-15K,中山市/南区街道,06-29 刷新过,"['年龄不限', '销售总监']","
    公司作为世界500强家电企业PCBA供应商，每年年产值保持20%以上增幅。公司重视培养技能型人才，近年快速拓展海外市场，成效显著。欢迎您的加入！您的加入，值得我们永远铭记。
"
跟模工程师,新宝股份,8-12K,佛山市/顺德区,06-29 刷新过,"['年龄不限', '模具工程师']","
    为员工购买养老、医疗、工伤、失业、生育等社会保险。
"
PMC计划员,弘丰电器,5.5-6.5K,中山市/黄圃镇,06-29 刷新过,"['年龄不限', '生产计划/调度']","
    1、上班时间：上午：8:30-12:00，下午13:30-18:00；单休；2、提供食宿，社保，节假日福利，开工利是、年终奖等福利；
"
跟单,中山顶峰旅行用品有限公司,5-7K,中山市/南区街道,06-29 刷新过,"['年龄不限', '跟单员']","
    1、5.5天制2、购买社保3、包吃包住（有宿舍）4、外宿补贴5、工龄奖、全勤奖等奖金
"
电话销售,金瓦装饰,4-6K,中山市/黄圃镇,06-29 刷新过,"['19-28 岁', '电话销售']","
    职位亮点周一至周日，上午8:00~12:00，下午14:00~18:00，周二休息薪酬福利：1.每天上班8小时2.薪资待遇：基本工资+提成+个人奖金
"
车间临时工,巴洛克木业（中山）有限公司,4-7K,中山市/港口镇,06-29 刷新过,"['年龄不限', '普工']","
    包吃
"
房地产会计,嘉丰集团,5-7K,中山市/沙溪镇,06-29 刷新过,"['房地产', '会计', '财务', '年龄不限', '财务']",
家政保洁师（沙溪/城区/东凤/古镇）,中山快帮科技,5-6.5K,中山市/东区街道,06-29 刷新过,"['保洁员、育婴师', '年龄不限', '其他（保安/家政）']",
业务专员,中山市爱的圣科技有限公司,5-7K,中山市/小榄镇,06-29 刷新过,"['年龄不限', '销售代表']",
冲压架模工/连续模,隆丰脚轮,7-8K,中山市/小榄镇,06-29 刷新过,"['25-45 岁', '其他（工人）']",
灯饰结构工程师,圣丽灯饰,7-9.5K,中山市/小榄镇,06-29 刷新过,"['年龄不限', '灯饰结构师']",
物控,中山市爱的圣科技有限公司,5-7K,中山市/小榄镇,06-29 刷新过,"['年龄不限', '生产计划/调度']","

"
会计,中山市锵辉金属制品有限公司,5-8.5K,中山市/阜沙镇,06-29 刷新过,"['年龄不限', '成本会计']",
来料检验员,中山市锵辉金属制品有限公司,4-6K,中山市/阜沙镇,06-29 刷新过,"['年龄不限', '质检员']",
审计会计,中山市锵辉金属制品有限公司,5-8.5K,中山市/阜沙镇,06-29 刷新过,"['年龄不限', '审计专员']",
人事行政专员,一间信息咨询有限公司,3-8K,东区街道/库充,06-29 刷新过,"['年龄不限', '招聘专员']","
    不加班，买社保
"
非标淋浴房下单技术员,爱琴岛淋浴房,3.5-6K,中山市/东升镇,06-29 刷新过,"['年龄不限', '机械设计']","
    该职位一经录用，待遇优厚，发展空间大。
"
人事行政,中山市朋信盈商务信息咨询有限公司,3.5-5K,中山市/石岐街道,06-29 刷新过,"['人事行政', '招聘与面试', '人力资源', '行政文员', '年龄不限', '行政专员/助理']","
    朝九晚六，大小周休息，国家法定节假日放假调休。每周下午茶，不定期游戏、团建活动等。
"
助理工程师,佳宏泰電子,6-8K,中山市/大涌镇,06-29 刷新过,"['年龄不限', '其他（机械/设备）']","
    结构设计、工程师、设计、机械、机械设计、产品设计、cad、结构
"
