序号,标题,房屋详细信息,总价,单价
1,满五唯一，无抵押，无户口，附带顶楼露台阳光房,4室2厅 | 191.1平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,190,"9,943元/平"
2,此房满五年花园式小区物业费低，两卧朝南， 中间楼层,2室1厅 | 81.81平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,80,"9,779元/平"
3,龙跃时代家园 多层大三房  采光好 可商贷,3室2厅 | 150.6平米 | 南 北 | 其他 | 低楼层(共7层)  | 平房,141,"9,363元/平"
4,康桥品质楼盘 精装修一天未住  中间楼层,3室2厅 | 121.01平米 | 南 北 | 其他 | 中楼层(共23层)  | 板楼,133,"10,991元/平"
5,财政局家属院 多层步梯带露台 南北通透大三房,3室2厅 | 164.91平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,238,"14,433元/平"
6,契税满二年，全款房，高楼层，视野采光绝绝子,3室2厅 | 124.9平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,165,"13,211元/平"
7,永威高品质改善小区  中间好楼层  精装小三房,3室2厅 | 89.3平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,117,"13,102元/平"
8,带院30平 优质通透两房 满五唯一 无贷款 另带地下室,2室2厅 | 92.09平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,95,"10,316元/平"
9,精装修，朝南大两房，客厅大阳台落地窗,2室2厅 | 95.65平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,210,"21,956元/平"
10,婚房装修 双气精装修 全天采光,2室2厅 | 72.85平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,101,"13,865元/平"
11,洋房顶层复式，户型好，采光好，业主急售,4室1厅 | 142.8平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,175,"12,255元/平"
12,理想名家 3室2厅 东 东南,3室2厅 | 100.59平米 | 东 东南 | 精装 | 低楼层(共18层)  | 板塔结合,65,"6,462元/平"
13,地铁口 南北格局 中间楼层 视野宽阔 交通便利！,3室2厅 | 126.57平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,113,"8,928元/平"
