排名,歌曲,歌手
1,Levitating,Dua Lipa
2,Save Your Tears,The Weeknd & Ariana Grande
3,Blinding Lights,The Weeknd
4,Mood,24kGoldn Featuring iann dior
5,Good 4 U,Olivia Rodrigo
6,Kiss Me More,Doja Cat Featuring SZA
7,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak)
8,Drivers License,Olivia Rodrigo
9,Montero (Call Me By Your Name),Lil Nas X
10,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
11,Butter,BTS
12,Stay,The Kid LAROI & Justin Bieber
13,Deja Vu,Olivia Rodrigo
14,Positions,Ariana Grande
15,Bad Habits,Ed Sheeran
16,Heat Waves,Glass Animals
17,Without You,The Kid LAROI
18,Forever After All,Luke Combs
19,Go Crazy,Chris Brown & Young Thug
20,Astronaut In The Ocean,Masked Wolf
21,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion
22,What You Know Bout Love,Pop Smoke
23,My Ex's Best Friend,Machine Gun Kelly X blackbear
24,Industry Baby,Lil Nas X & Jack Harlow
25,Therefore I Am,Billie Eilish
