Date,Open,Close,Change,Zhangdiefu,Low,High,Succeed,Succeed Price
2023-06-19,3271.16,3255.81,-17.53,-0.54%,3251.78,3271.16,327753056,45522616.00
2023-06-16,3256.30,3273.33,20.36,0.63%,3255.50,3276.55,326281856,44437564.00
2023-06-15,3230.45,3252.98,23.99,0.74%,3229.15,3252.98,313255744,43752300.00
2023-06-14,3238.12,3228.99,-4.68,-0.14%,3226.77,3248.46,303537248,40400952.00
2023-06-13,3223.90,3233.67,4.84,0.15%,3215.50,3235.09,280628448,37719348.00
2023-06-12,3225.30,3228.83,-2.57,-0.08%,3210.71,3239.44,313784448,40324164.00
2023-06-09,3213.03,3231.41,17.82,0.55%,3206.10,3231.41,314155488,41334176.00
2023-06-08,3194.83,3213.59,15.83,0.49%,3180.54,3225.53,293530752,35355164.00
2023-06-07,3197.47,3197.76,2.42,0.08%,3188.01,3210.33,258063408,33108388.00
2023-06-06,3228.41,3195.34,-37.10,-1.15%,3189.27,3247.35,308285856,38749220.00
2023-06-05,3231.81,3232.44,2.37,0.07%,3221.63,3244.18,278060192,35781008.00
2023-06-02,3212.45,3230.07,25.43,0.79%,3211.74,3233.99,294667104,37750792.00
2023-06-01,3196.15,3204.63,0.07,0.00%,3189.52,3225.09,312330752,40098148.00
2023-05-31,3214.66,3204.56,-19.65,-0.61%,3190.27,3216.36,294573344,38499920.00
2023-05-30,3214.67,3224.21,2.76,0.09%,3186.63,3230.63,303532448,37662256.00
2023-05-29,3219.76,3221.45,8.94,0.28%,3208.96,3230.97,297389472,37787600.00
2023-05-26,3198.88,3212.50,11.24,0.35%,3179.82,3220.77,261700480,33331928.00
2023-05-25,3197.36,3201.26,-3.49,-0.11%,3168.57,3207.02,283588928,34770924.00
2023-05-24,3237.70,3204.75,-41.49,-1.28%,3204.38,3237.70,288720256,34267732.00
2023-05-23,3294.79,3246.24,-50.23,-1.52%,3246.24,3298.23,275279072,32466794.00
2023-05-22,3278.60,3296.47,12.93,0.39%,3276.54,3308.53,273889984,34244840.00
