日期,降雨概率,最高气温,最低气温,星期,节日
20220529,20%,30,18,日,
20220530,27%,30,18,一,
20220531,10%,30,18,二,
20220601,20%,31,19,三,儿童节
20220602,23%,31,19,四,
20220603,27%,31,19,五,
20220604,17%,31,19,六,
20220605,17%,31,19,日,世界环境日
20220606,37%,32,20,一,
20220607,20%,32,20,二,
20220608,17%,32,20,三,
20220609,40%,32,20,四,
20220610,7%,32,20,五,
20220611,10%,32,20,六,
20220612,33%,32,20,日,
20220613,23%,32,21,一,
20220614,23%,32,21,二,
20220615,27%,33,21,三,
20220616,23%,33,21,四,
20220617,23%,33,21,五,
20220618,23%,33,21,六,
20220619,13%,33,21,日,
20220620,23%,33,22,一,
20220621,30%,33,22,二,
20220622,47%,33,22,三,
20220623,23%,33,22,四,
20220624,30%,33,22,五,
20220625,27%,33,22,六,
20220626,30%,33,22,日,
20220627,33%,33,22,一,
20220628,30%,33,22,二,
20220629,37%,33,22,三,
20220630,27%,33,22,四,
20220701,30%,33,23,五,建党节
20220702,33%,33,23,六,
20230528,10%,30,18,日,
20230529,20%,30,18,一,
20230530,27%,30,18,二,
20230531,10%,30,18,三,
20230601,20%,31,19,四,儿童节
20230602,23%,31,19,五,
20230603,27%,31,19,六,
20230604,17%,31,19,日,
20230605,17%,31,19,一,世界环境日
20230606,37%,32,20,二,
20230607,20%,32,20,三,
20230608,17%,32,20,四,
20230609,40%,32,20,五,
20230610,7%,32,20,六,
20230611,10%,32,20,日,
20230612,33%,32,20,一,
20230613,23%,32,21,二,
20230614,23%,32,21,三,
20230615,27%,33,21,四,
20230616,23%,33,21,五,
20230617,23%,33,21,六,
20230618,23%,33,21,日,
20230619,13%,33,21,一,
20230620,23%,33,22,二,
20230621,30%,33,22,三,
20230622,47%,33,22,四,
20230623,23%,33,22,五,
20230624,30%,33,22,六,
20230625,27%,33,22,日,
20230626,30%,33,22,一,
20230627,33%,33,22,二,
20230628,30%,33,22,三,
20230629,37%,33,22,四,
20230630,27%,33,22,五,
20230701,30%,33,23,六,建党节
