Name,Author,Source,Date,Data
,,,,
大数据发展对我国县域碳排放的影响机理研究,"['孙光林', '汪琳琳', '艾永芳']",西安理工大学学报,2023-06-13 11:11,期刊
公平和效率双重视角下中国粮食主产区农业碳排放研究,"['邓荣荣', '肖湘涛', '刘凡璠']",调研世界,2023-06-13 09:57,期刊
中国人口年龄结构对碳排放的影响：效应估计与趋势预测,"['赵晓航', '孙碧洋']",调研世界,2023-06-13 09:55,期刊
基于青岛市碳排放BIM审查系统的建筑能耗及碳排放分析,"['田力男', '刘平平', '郝楠', '朱峰磊', '徐汉擎', '王金祺', '王佳员']",土木建筑工程信息技术,2023-06-09 08:49,期刊
基于投入产出法的中国造纸工业碳排放核算,"['杨本晓', '姜涛', '刘夏青']",中国造纸,2023-06-07 14:30,期刊
“双碳”目标下中国油气开采业碳排放影响因素探究,"['周淑慧', '高翔']",油气储运,2023-06-07 10:05,期刊
交通运输碳排放信息化统计监测平台研究,"['韩淑君', '穆琙博', '张寒月', '柴瑶琳', '毕立波', '宋平']",交通节能与环保,2023-06-07 09:16,期刊
吉林省农业碳排放测度分析及影响因素研究,"['李菲菲', '徐绘薇', '王舒泓', '崔金栋']",综合智慧能源,2023-06-06 16:48,期刊
我国农业保险对农业碳排放的影响研究,"['王晓润', '李娟', '刘熙']",云南农业大学学报(社会科学),2023-06-06 14:14,期刊
北部湾经济区土地利用碳排放时空差异及影响力地理探测,"['刘少坤', '王鹏程', '黄荣华']",自然资源情报,2023-06-06 12:58,期刊
航空发动机全生命周期碳排放计量方法研究,"['邵彦博', '李伟', '颜应文', '刘云鹏']",航空工程进展,2023-06-03 11:46,期刊
碳排放权交易政策对企业绿色技术创新的影响——基于工具变量和三重差分的检验,"['李创', '王智佳', '王丽萍']",科学学与科学技术管理,2023-06-02 11:52,期刊
基于碳排放流迭代算法的分布式碳表系统（二）：系统设计与验证,"['李业辉', '包维瀚', '周特', '杜尔顺', '李姚旺', '刘昱良', '张宁']",电网技术,2023-06-02 10:25,期刊
湖北省能源消费与碳排放现况及发展趋势研究,"['杜奇迹', '赵璐', '范黎', '肖建军']",工业安全与环保,2023-06-02 09:25,期刊
基于土地利用变化的江苏省碳排放时空差异与碳平衡分区,"['李卓娜', '杨洋', '朱晓东']",环境保护科学,2023-06-01 10:49,期刊
国内外工业碳排放数据平台建设现状与应用展望,"['刘铁牛', '郭少华', '张笛', '赵赫', '魏平', '李塔娜']",能源环境保护,2023-06-01 09:37,期刊
数字经济、异质性技术创新与二氧化碳排放,"['刘潭', '徐璋勇']",科技进步与对策,2023-06-01 09:32,期刊
徐州市农业碳排放时空特征与脱钩效应,"['徐玥', '王辉', '韩秋凤']",水土保持通报,2023-05-30 15:17,期刊
城乡收入差距、消费差异与碳排放效率—以京津冀地区为例,"['邹秀清', '葛天越', '孙学成', '邢盛']",软科学,2023-05-30 14:59,期刊
论“双碳”背景下碳排放价格的形成机制,"['卢美伶', '程蕾']",决策与信息,2023-05-01,期刊
,,,,
贸易开放的规模、技术和结构效应对碳排放的影响——基于中国省级面板数据的检验,"['夏子惠', '古丽娜尔·玉素甫']",技术经济与管理研究,2023-04-26,期刊
全球价值链嵌入、技术创新与制造业碳排放效率,['韦帅民'],技术经济与管理研究,2023-04-26,期刊
城镇化进程中碳排放轨迹及其传导机制,"['孙玉阳', '侯晓娜', '柳清瑞']",技术经济与管理研究,2023-04-26,期刊
上海市预拌混凝土碳排放分析,"['杨雪', '桂志伟']",上海建材,2023-04-25,期刊
西安市碳排放动态演变及等级评估研究,"['黄仁全', '曾倩']",环境科学导刊,2023-04-23,期刊
基于“双碳”背景下构建碳排放生态补偿法律制度的问题分析,['马蓉'],湖北开放大学学报,2023-04-20,期刊
建筑景观园林工程生命周期碳排放计算方法研究——以西安市住宅小区为例,"['罗智星', '曹雨', '田瀚元', '胡昕月', '卢梅', '谢静超']",建筑科学,2023-04-20,期刊
“双碳”背景下东北老工业基地碳排放驱动效应研究——以黑龙江省为例,['郑鸿'],中国集体经济,2023-04-18,期刊
基于DLCA的家用空调器碳排放研究,"['崔志恒', '杨昌智']",制冷学报,2023-04-16,期刊
施工企业碳排放权如何进行会计处理,['孙亚杰'],中国商界,2023-04-15,期刊
碳排放权交易试点政策能否促进绿色经济增长,"['张优智', '刘寅可', '赵璟']",西安石油大学学报(社会科学版),2023-04-15,期刊
基于使用阶段的城镇住宅建筑碳排放测量与影响因素研究:以重庆为例,"['黄小恒', '潘雨红']",河南科学,2023-04-15,期刊
南昌市耕地利用变化碳排放时空演变特征及影响因素分析,['刘思维'],江西科学,2023-04-15,期刊
“双碳”背景下中国农业碳排放分布动态及减排路径,"['葛继红', '孔阿敬', '王猛']",新疆农垦经济,2023-04-15,期刊
浙江省县域碳排放的时空格局与影响因素研究,"['祁慧博', '沈欣懿', '龙飞', '刘梅娟', '高晓玮']",长江流域资源与环境,2023-04-15,期刊
西宁市城市建设用地扩张与碳排放关系探究——基于VAR模型,['才仁卓玛'],西部学刊,2023-04-15,期刊
基于生命周期评价的UHPC碳排放控制潜力评估,"['丁超', '贾子杰', '王振华', '丁玉贤']",硅酸盐通报,2023-04-15,期刊
装配式与现浇楼面板的碳排放及经济性对比分析,"['张霞', '丁晓欣', '王群', '邓蓉晖']",吉林建筑大学学报,2023-04-15,期刊
高速公路服务区污水处理站全过程碳排放特征和碳减排模式研究,"['刘智慧', '张泽乾', '罗凯']",公路,2023-04-11 08:51,期刊
基于碳排放评价的桥梁路基建设方案比选优化研究,"['王海涛', '栾治军', '黄明利', '吴啸宇']",公路,2023-04-10 17:22,期刊
,,,,
社会抚养压力与碳排放——基于STIRPAT模型与岭回归分析,['刘玲玲'],科技和产业,2023-04-10,期刊
中国石灰产业碳排放影响因素分析及趋势预测,"['王法军', '姚艳霞']",科技和产业,2023-04-10,期刊
绿色技术创新与碳排放效率：影响机制及回弹效应,"['杨浩昌', '钟时权', '李廉水']",科技进步与对策,2023-04-06 09:39,期刊
商贸流通业集聚对碳排放的影响——基于面板门槛模型分析,"['叶娟惠', '叶阿忠']",商业经济研究,2023-04-06,期刊
我国流通产业碳排放影响因素研究,"['黄卓', '杨佩月']",商业经济研究,2023-04-06,期刊
基于土地利用变化的重庆碳排放时空格局研究,"['肖磊', '孙贵艳']",国土与自然资源研究,2023-04-03,期刊
双碳目标下建材行业碳排放权交易会计处理探讨,['金旭霞'],时代金融,2023-04-01,期刊
河北省土地利用碳排放时空特征和脱钩分析,"['马建辉', '田刚', '谢宛怿', '何淼']",上海国土资源,2023-03-30,期刊
江苏省县域碳排放效率的测度及时空演化特征研究,"['陈红梅', '李建豹']",现代营销(下旬刊),2023-03-30,期刊
